Value,Prefix,Suffix,Type,Status
G0TKL,G0,TKL,Call Sign - Amateur,Allocated
G0TKM,G0,TKM,Call Sign - Amateur,Reserved
G0TKN,G0,TKN,Call Sign - Amateur,Reserved
G0TKO,G0,TKO,Call Sign - Amateur,Allocated
G0TKP,G0,TKP,Call Sign - Amateur,Allocated
G0TKQ,G0,TKQ,Call Sign - Amateur,Reserved
G0TKR,G0,TKR,Call Sign - Amateur,Allocated
G0TKS,G0,TKS,Call Sign - Amateur,Reserved
G0TKT,G0,TKT,Call Sign - Amateur,Allocated
G0TKU,G0,TKU,Call Sign - Amateur,Allocated
G0TKV,G0,TKV,Call Sign - Amateur,Allocated
G0TKW,G0,TKW,Call Sign - Amateur,Reserved
G0TKX,G0,TKX,Call Sign - Amateur,Allocated
G0TKY,G0,TKY,Call Sign - Amateur,Reserved
G0TKZ,G0,TKZ,Call Sign - Amateur,Allocated
G0TLA,G0,TLA,Call Sign - Amateur,Allocated
G0TLB,G0,TLB,Call Sign - Amateur,Allocated
G0TLC,G0,TLC,Call Sign - Amateur,Allocated
G0TLD,G0,TLD,Call Sign - Amateur,Allocated
G0TLE,G0,TLE,Call Sign - Amateur,Allocated
G0TLF,G0,TLF,Call Sign - Amateur,Reserved
G0TLG,G0,TLG,Call Sign - Amateur,Allocated
G0TLH,G0,TLH,Call Sign - Amateur,Reserved
G0TLI,G0,TLI,Call Sign - Amateur,Allocated
G0TLJ,G0,TLJ,Call Sign - Amateur,Allocated
G0TLK,G0,TLK,Call Sign - Amateur,Allocated
G0TLL,G0,TLL,Call Sign - Amateur,Allocated
G0TLM,G0,TLM,Call Sign - Amateur,Allocated
G0TLN,G0,TLN,Call Sign - Amateur,Allocated
G0TLO,G0,TLO,Call Sign - Amateur,Reserved
G0TLP,G0,TLP,Call Sign - Amateur,Allocated
G0TLQ,G0,TLQ,Call Sign - Amateur,Allocated
G0TLR,G0,TLR,Call Sign - Amateur,Reserved
G0TLS,G0,TLS,Call Sign - Amateur,Allocated
G0TLT,G0,TLT,Call Sign - Amateur,Allocated
G0TLU,G0,TLU,Call Sign - Amateur,Allocated
G0TLV,G0,TLV,Call Sign - Amateur,Reserved
G0TLW,G0,TLW,Call Sign - Amateur,Reserved
G0TLX,G0,TLX,Call Sign - Amateur,Reserved
G0TLY,G0,TLY,Call Sign - Amateur,Reserved
G0TLZ,G0,TLZ,Call Sign - Amateur,Allocated
G0TMA,G0,TMA,Call Sign - Amateur,Allocated
G0TMB,G0,TMB,Call Sign - Amateur,Allocated
G0TMC,G0,TMC,Call Sign - Amateur,Allocated
G0TMD,G0,TMD,Call Sign - Amateur,Allocated
G0TME,G0,TME,Call Sign - Amateur,Allocated
G0TMF,G0,TMF,Call Sign - Amateur,Allocated
G0TMG,G0,TMG,Call Sign - Amateur,Reserved
G0TMH,G0,TMH,Call Sign - Amateur,Allocated
G0TMI,G0,TMI,Call Sign - Amateur,Reserved
G0TMJ,G0,TMJ,Call Sign - Amateur,Allocated
G0TMK,G0,TMK,Call Sign - Amateur,Allocated
G0TML,G0,TML,Call Sign - Amateur,Allocated
G0TMM,G0,TMM,Call Sign - Amateur,Reserved
G0TMN,G0,TMN,Call Sign - Amateur,Reserved
G0TMO,G0,TMO,Call Sign - Amateur,Reserved
G0TMP,G0,TMP,Call Sign - Amateur,Allocated
G0TMQ,G0,TMQ,Call Sign - Amateur,Reserved
G0TMR,G0,TMR,Call Sign - Amateur,Reserved
G0TMS,G0,TMS,Call Sign - Amateur,Allocated
G0TMT,G0,TMT,Call Sign - Amateur,Allocated
G0TMU,G0,TMU,Call Sign - Amateur,Allocated
G0TMV,G0,TMV,Call Sign - Amateur,Allocated
G0TMW,G0,TMW,Call Sign - Amateur,Allocated
G0TMX,G0,TMX,Call Sign - Amateur,Allocated
G0TMY,G0,TMY,Call Sign - Amateur,Allocated
G0TMZ,G0,TMZ,Call Sign - Amateur,Allocated
G0TNA,G0,TNA,Call Sign - Amateur,Reserved
G0TNB,G0,TNB,Call Sign - Amateur,Reserved
G0TNC,G0,TNC,Call Sign - Amateur,Allocated
G0TND,G0,TND,Call Sign - Amateur,Reserved
G0TNE,G0,TNE,Call Sign - Amateur,Reserved
G0TNF,G0,TNF,Call Sign - Amateur,Allocated
G0TNG,G0,TNG,Call Sign - Amateur,Allocated
G0TNH,G0,TNH,Call Sign - Amateur,Allocated
G0TNI,G0,TNI,Call Sign - Amateur,Allocated
G0TNJ,G0,TNJ,Call Sign - Amateur,Allocated
G0TNK,G0,TNK,Call Sign - Amateur,Allocated
G0TNL,G0,TNL,Call Sign - Amateur,Allocated
G0TNM,G0,TNM,Call Sign - Amateur,Allocated
G0TNN,G0,TNN,Call Sign - Amateur,Reserved
G0TNO,G0,TNO,Call Sign - Amateur,Allocated
G0TNP,G0,TNP,Call Sign - Amateur,Allocated
G0TNQ,G0,TNQ,Call Sign - Amateur,Allocated
G0TNR,G0,TNR,Call Sign - Amateur,Allocated
G0TNS,G0,TNS,Call Sign - Amateur,Allocated
G0TNT,G0,TNT,Call Sign - Amateur,Allocated
G0TNU,G0,TNU,Call Sign - Amateur,Allocated
G0TNV,G0,TNV,Call Sign - Amateur,Allocated
G0TNW,G0,TNW,Call Sign - Amateur,Reserved
G0TNX,G0,TNX,Call Sign - Amateur,Reserved
G0TNY,G0,TNY,Call Sign - Amateur,Allocated
G0TNZ,G0,TNZ,Call Sign - Amateur,Reserved
G0TOA,G0,TOA,Call Sign - Amateur,Reserved
G0TOB,G0,TOB,Call Sign - Amateur,Allocated
G0TOC,G0,TOC,Call Sign - Amateur,Allocated
G0TOD,G0,TOD,Call Sign - Amateur,Allocated
G0TOE,G0,TOE,Call Sign - Amateur,Allocated
G0TOF,G0,TOF,Call Sign - Amateur,Allocated
G0TOG,G0,TOG,Call Sign - Amateur,Allocated
G0TOH,G0,TOH,Call Sign - Amateur,Reserved
G0TOI,G0,TOI,Call Sign - Amateur,Allocated
G0TOJ,G0,TOJ,Call Sign - Amateur,Reserved
G0TOK,G0,TOK,Call Sign - Amateur,Allocated
G0TOL,G0,TOL,Call Sign - Amateur,Reserved
G0TOM,G0,TOM,Call Sign - Amateur,Allocated
G0TON,G0,TON,Call Sign - Amateur,Reserved
G0TOO,G0,TOO,Call Sign - Amateur,Allocated
G0TOP,G0,TOP,Call Sign - Amateur,Reserved
G0TOQ,G0,TOQ,Call Sign - Amateur,Allocated
G0TOR,G0,TOR,Call Sign - Amateur,Allocated
G0TOS,G0,TOS,Call Sign - Amateur,Allocated
G0TOT,G0,TOT,Call Sign - Amateur,Allocated
G0TOU,G0,TOU,Call Sign - Amateur,Allocated
G0TOV,G0,TOV,Call Sign - Amateur,Allocated
G0TOW,G0,TOW,Call Sign - Amateur,Allocated
G0TOX,G0,TOX,Call Sign - Amateur,Allocated
G0TOY,G0,TOY,Call Sign - Amateur,Allocated
G0TOZ,G0,TOZ,Call Sign - Amateur,Reserved
G0TPA,G0,TPA,Call Sign - Amateur,Allocated
G0TPB,G0,TPB,Call Sign - Amateur,Allocated
G0TPC,G0,TPC,Call Sign - Amateur,Allocated
G0TPD,G0,TPD,Call Sign - Amateur,Allocated
G0TPE,G0,TPE,Call Sign - Amateur,Allocated
G0TPF,G0,TPF,Call Sign - Amateur,Reserved
G0TPG,G0,TPG,Call Sign - Amateur,Allocated
G0TPH,G0,TPH,Call Sign - Amateur,Allocated
G0TPI,G0,TPI,Call Sign - Amateur,Allocated
G0TPJ,G0,TPJ,Call Sign - Amateur,Allocated
G0TPK,G0,TPK,Call Sign - Amateur,Allocated
G0TPL,G0,TPL,Call Sign - Amateur,Allocated
G0TPM,G0,TPM,Call Sign - Amateur,Allocated
G0TPN,G0,TPN,Call Sign - Amateur,Allocated
G0TPO,G0,TPO,Call Sign - Amateur,Allocated
G0TPP,G0,TPP,Call Sign - Amateur,Allocated
G0TPQ,G0,TPQ,Call Sign - Amateur,Reserved
G0TPR,G0,TPR,Call Sign - Amateur,Allocated
G0TPS,G0,TPS,Call Sign - Amateur,Allocated
G0TPT,G0,TPT,Call Sign - Amateur,Allocated
G0TPU,G0,TPU,Call Sign - Amateur,Allocated
G0TPV,G0,TPV,Call Sign - Amateur,Allocated
G0TPW,G0,TPW,Call Sign - Amateur,Reserved
G0TPX,G0,TPX,Call Sign - Amateur,Allocated
G0TPY,G0,TPY,Call Sign - Amateur,Allocated
G0TPZ,G0,TPZ,Call Sign - Amateur,Allocated
G0TQA,G0,TQA,Call Sign - Amateur,Reserved
G0TQB,G0,TQB,Call Sign - Amateur,Allocated
G0TQC,G0,TQC,Call Sign - Amateur,Allocated
G0TQD,G0,TQD,Call Sign - Amateur,Allocated
G0TQE,G0,TQE,Call Sign - Amateur,Reserved
G0TQF,G0,TQF,Call Sign - Amateur,Reserved
G0TQG,G0,TQG,Call Sign - Amateur,Allocated
G0TQH,G0,TQH,Call Sign - Amateur,Reserved
G0TQI,G0,TQI,Call Sign - Amateur,Reserved
G0TQJ,G0,TQJ,Call Sign - Amateur,Allocated
G0TQK,G0,TQK,Call Sign - Amateur,Reserved
G0TQL,G0,TQL,Call Sign - Amateur,Reserved
G0TQM,G0,TQM,Call Sign - Amateur,Allocated
G0TQN,G0,TQN,Call Sign - Amateur,Allocated
G0TQO,G0,TQO,Call Sign - Amateur,Allocated
G0TQP,G0,TQP,Call Sign - Amateur,Allocated
G0TQQ,G0,TQQ,Call Sign - Amateur,Reserved
G0TQR,G0,TQR,Call Sign - Amateur,Allocated
G0TQS,G0,TQS,Call Sign - Amateur,Allocated
G0TQT,G0,TQT,Call Sign - Amateur,Allocated
G0TQU,G0,TQU,Call Sign - Amateur,Reserved
G0TQV,G0,TQV,Call Sign - Amateur,Allocated
G0TQX,G0,TQX,Call Sign - Amateur,Reserved
G0TQY,G0,TQY,Call Sign - Amateur,Reserved
G0TQZ,G0,TQZ,Call Sign - Amateur,Allocated
G0TRA,G0,TRA,Call Sign - Amateur,Reserved
G0TRB,G0,TRB,Call Sign - Amateur,Allocated
G0TRC,G0,TRC,Call Sign - Amateur,Allocated
G0TRD,G0,TRD,Call Sign - Amateur,Allocated
G0TRE,G0,TRE,Call Sign - Amateur,Allocated
G0TRF,G0,TRF,Call Sign - Amateur,Allocated
G0TRG,G0,TRG,Call Sign - Amateur,Allocated
G0TRH,G0,TRH,Call Sign - Amateur,Allocated
G0TRI,G0,TRI,Call Sign - Amateur,Allocated
G0TRJ,G0,TRJ,Call Sign - Amateur,Allocated
G0TRK,G0,TRK,Call Sign - Amateur,Allocated
G0TRL,G0,TRL,Call Sign - Amateur,Reserved
G0TRM,G0,TRM,Call Sign - Amateur,Allocated
G0TRN,G0,TRN,Call Sign - Amateur,Allocated
G0TRO,G0,TRO,Call Sign - Amateur,Reserved
G0TRP,G0,TRP,Call Sign - Amateur,Allocated
G0TRQ,G0,TRQ,Call Sign - Amateur,Reserved
G0TRR,G0,TRR,Call Sign - Amateur,Reserved
G0TRT,G0,TRT,Call Sign - Amateur,Allocated
G0TRU,G0,TRU,Call Sign - Amateur,Allocated
G0TRV,G0,TRV,Call Sign - Amateur,Reserved
G0TRW,G0,TRW,Call Sign - Amateur,Allocated
G0TRX,G0,TRX,Call Sign - Amateur,Allocated
G0TRY,G0,TRY,Call Sign - Amateur,Allocated
G0TRZ,G0,TRZ,Call Sign - Amateur,Allocated
G0TSA,G0,TSA,Call Sign - Amateur,Allocated
G0TSB,G0,TSB,Call Sign - Amateur,Allocated
G0TSC,G0,TSC,Call Sign - Amateur,Reserved
G0TSD,G0,TSD,Call Sign - Amateur,Reserved
G0TSE,G0,TSE,Call Sign - Amateur,Allocated
G0TSF,G0,TSF,Call Sign - Amateur,Reserved
G0TSG,G0,TSG,Call Sign - Amateur,Allocated
G0TSH,G0,TSH,Call Sign - Amateur,Allocated
G0TSI,G0,TSI,Call Sign - Amateur,Reserved
G0TSJ,G0,TSJ,Call Sign - Amateur,Allocated
G0TSK,G0,TSK,Call Sign - Amateur,Allocated
G0TSL,G0,TSL,Call Sign - Amateur,Allocated
G0TSM,G0,TSM,Call Sign - Amateur,Allocated
G0TSN,G0,TSN,Call Sign - Amateur,Reserved
G0TSO,G0,TSO,Call Sign - Amateur,Reserved
G0TSP,G0,TSP,Call Sign - Amateur,Allocated
G0TSQ,G0,TSQ,Call Sign - Amateur,Allocated
G0TSR,G0,TSR,Call Sign - Amateur,Allocated
G0TSS,G0,TSS,Call Sign - Amateur,Allocated
G0TST,G0,TST,Call Sign - Amateur,Allocated
G0TSU,G0,TSU,Call Sign - Amateur,Allocated
G0TSV,G0,TSV,Call Sign - Amateur,Reserved
G0TSW,G0,TSW,Call Sign - Amateur,Allocated
G0TSX,G0,TSX,Call Sign - Amateur,Reserved
G0TSY,G0,TSY,Call Sign - Amateur,Reserved
G0TSZ,G0,TSZ,Call Sign - Amateur,Reserved
G0TTA,G0,TTA,Call Sign - Amateur,Allocated
G0TTB,G0,TTB,Call Sign - Amateur,Reserved
G0TTC,G0,TTC,Call Sign - Amateur,Reserved
G0TTD,G0,TTD,Call Sign - Amateur,Allocated
G0TTE,G0,TTE,Call Sign - Amateur,Allocated
G0TTF,G0,TTF,Call Sign - Amateur,Allocated
G0TTG,G0,TTG,Call Sign - Amateur,Allocated
G0TTH,G0,TTH,Call Sign - Amateur,Reserved
G0TTI,G0,TTI,Call Sign - Amateur,Allocated
G0TTJ,G0,TTJ,Call Sign - Amateur,Allocated
G0TTK,G0,TTK,Call Sign - Amateur,Reserved
G0TTL,G0,TTL,Call Sign - Amateur,Allocated
G0TTM,G0,TTM,Call Sign - Amateur,Allocated
G0TTN,G0,TTN,Call Sign - Amateur,Allocated
G0TTO,G0,TTO,Call Sign - Amateur,Allocated
G0TTP,G0,TTP,Call Sign - Amateur,Reserved
G0TTQ,G0,TTQ,Call Sign - Amateur,Allocated
G0TTR,G0,TTR,Call Sign - Amateur,Allocated
G0TTS,G0,TTS,Call Sign - Amateur,Allocated
G0TTU,G0,TTU,Call Sign - Amateur,Allocated
G0TTV,G0,TTV,Call Sign - Amateur,Allocated
G0TTW,G0,TTW,Call Sign - Amateur,Allocated
G0TTX,G0,TTX,Call Sign - Amateur,Allocated
G0TTY,G0,TTY,Call Sign - Amateur,Allocated
G0TTZ,G0,TTZ,Call Sign - Amateur,Reserved
G0TUA,G0,TUA,Call Sign - Amateur,Allocated
G0TUB,G0,TUB,Call Sign - Amateur,Allocated
G0TUC,G0,TUC,Call Sign - Amateur,Allocated
G0TUD,G0,TUD,Call Sign - Amateur,Allocated
G0TUE,G0,TUE,Call Sign - Amateur,Allocated
G0TUF,G0,TUF,Call Sign - Amateur,Reserved
G0TUG,G0,TUG,Call Sign - Amateur,Reserved
G0TUH,G0,TUH,Call Sign - Amateur,Allocated
G0TUI,G0,TUI,Call Sign - Amateur,Allocated
G0TUJ,G0,TUJ,Call Sign - Amateur,Allocated
G0TUK,G0,TUK,Call Sign - Amateur,Allocated
G0TUL,G0,TUL,Call Sign - Amateur,Allocated
G0TUM,G0,TUM,Call Sign - Amateur,Allocated
G0TUN,G0,TUN,Call Sign - Amateur,Allocated
G0TUO,G0,TUO,Call Sign - Amateur,Allocated
G0TUP,G0,TUP,Call Sign - Amateur,Allocated
G0TUQ,G0,TUQ,Call Sign - Amateur,Reserved
G0TUR,G0,TUR,Call Sign - Amateur,Reserved
G0TUS,G0,TUS,Call Sign - Amateur,Allocated
G0TUT,G0,TUT,Call Sign - Amateur,Reserved
G0TUU,G0,TUU,Call Sign - Amateur,Allocated
G0TUV,G0,TUV,Call Sign - Amateur,Allocated
G0TUW,G0,TUW,Call Sign - Amateur,Allocated
G0TUX,G0,TUX,Call Sign - Amateur,Allocated
G0TUY,G0,TUY,Call Sign - Amateur,Allocated
G0TUZ,G0,TUZ,Call Sign - Amateur,Reserved
G0TVA,G0,TVA,Call Sign - Amateur,Reserved
G0TVB,G0,TVB,Call Sign - Amateur,Allocated
G0TVC,G0,TVC,Call Sign - Amateur,Allocated
G0TVD,G0,TVD,Call Sign - Amateur,Allocated
G0TVE,G0,TVE,Call Sign - Amateur,Allocated
G0TVF,G0,TVF,Call Sign - Amateur,Allocated
G0TVH,G0,TVH,Call Sign - Amateur,Allocated
G0TVI,G0,TVI,Call Sign - Amateur,Allocated
G0TVJ,G0,TVJ,Call Sign - Amateur,Allocated
G0TVK,G0,TVK,Call Sign - Amateur,Reserved
G0TVL,G0,TVL,Call Sign - Amateur,Allocated
G0TVM,G0,TVM,Call Sign - Amateur,Allocated
G0TVN,G0,TVN,Call Sign - Amateur,Reserved
G0TVO,G0,TVO,Call Sign - Amateur,Allocated
G0TVP,G0,TVP,Call Sign - Amateur,Allocated
G0TVQ,G0,TVQ,Call Sign - Amateur,Reserved
G0TVR,G0,TVR,Call Sign - Amateur,Allocated
G0TVS,G0,TVS,Call Sign - Amateur,Allocated
G0TVT,G0,TVT,Call Sign - Amateur,Allocated
G0TVU,G0,TVU,Call Sign - Amateur,Allocated
G0TVV,G0,TVV,Call Sign - Amateur,Allocated
G0TVW,G0,TVW,Call Sign - Amateur,Allocated
G0TVX,G0,TVX,Call Sign - Amateur,Allocated
G0TVY,G0,TVY,Call Sign - Amateur,Allocated
G0TVZ,G0,TVZ,Call Sign - Amateur,Reserved
G0TWA,G0,TWA,Call Sign - Amateur,Reserved
G0TWB,G0,TWB,Call Sign - Amateur,Allocated
G0TWC,G0,TWC,Call Sign - Amateur,Reserved
G0TWD,G0,TWD,Call Sign - Amateur,Allocated
G0TWE,G0,TWE,Call Sign - Amateur,Allocated
G0TWF,G0,TWF,Call Sign - Amateur,Allocated
G0TWH,G0,TWH,Call Sign - Amateur,Allocated
G0TWI,G0,TWI,Call Sign - Amateur,Allocated
G0TWJ,G0,TWJ,Call Sign - Amateur,Reserved
G0TWK,G0,TWK,Call Sign - Amateur,Reserved
G0TWL,G0,TWL,Call Sign - Amateur,Allocated
G0TWM,G0,TWM,Call Sign - Amateur,Reserved
G0TWN,G0,TWN,Call Sign - Amateur,Allocated
G0TWO,G0,TWO,Call Sign - Amateur,Allocated
G0TWP,G0,TWP,Call Sign - Amateur,Reserved
G0TWQ,G0,TWQ,Call Sign - Amateur,Reserved
G0TWR,G0,TWR,Call Sign - Amateur,Allocated
G0TWS,G0,TWS,Call Sign - Amateur,Reserved
G0TWT,G0,TWT,Call Sign - Amateur,Allocated
G0TWU,G0,TWU,Call Sign - Amateur,Reserved
G0TWV,G0,TWV,Call Sign - Amateur,Allocated
G0TWW,G0,TWW,Call Sign - Amateur,Allocated
G0TWX,G0,TWX,Call Sign - Amateur,Allocated
G0TWY,G0,TWY,Call Sign - Amateur,Reserved
G0TWZ,G0,TWZ,Call Sign - Amateur,Reserved
G0TXA,G0,TXA,Call Sign - Amateur,Allocated
G0TXB,G0,TXB,Call Sign - Amateur,Reserved
G0TXC,G0,TXC,Call Sign - Amateur,Reserved
G0TXD,G0,TXD,Call Sign - Amateur,Reserved
G0TXE,G0,TXE,Call Sign - Amateur,Allocated
G0TXF,G0,TXF,Call Sign - Amateur,Reserved
G0TXG,G0,TXG,Call Sign - Amateur,Reserved
G0TXH,G0,TXH,Call Sign - Amateur,Reserved
G0TXI,G0,TXI,Call Sign - Amateur,Allocated
G0TXJ,G0,TXJ,Call Sign - Amateur,Allocated
G0TXK,G0,TXK,Call Sign - Amateur,Reserved
G0TXL,G0,TXL,Call Sign - Amateur,Allocated
G0TXM,G0,TXM,Call Sign - Amateur,Reserved
G0TXN,G0,TXN,Call Sign - Amateur,Allocated
G0TXO,G0,TXO,Call Sign - Amateur,Reserved
G0TXP,G0,TXP,Call Sign - Amateur,Allocated
G0TXQ,G0,TXQ,Call Sign - Amateur,Reserved
G0TXR,G0,TXR,Call Sign - Amateur,Reserved
G0TXS,G0,TXS,Call Sign - Amateur,Reserved
G0TXU,G0,TXU,Call Sign - Amateur,Allocated
G0TXV,G0,TXV,Call Sign - Amateur,Reserved
G0TXW,G0,TXW,Call Sign - Amateur,Reserved
G0TXX,G0,TXX,Call Sign - Amateur,Reserved
G0TXY,G0,TXY,Call Sign - Amateur,Allocated
G0TXZ,G0,TXZ,Call Sign - Amateur,Reserved
G0TYA,G0,TYA,Call Sign - Amateur,Reserved
G0TYB,G0,TYB,Call Sign - Amateur,Reserved
G0TYC,G0,TYC,Call Sign - Amateur,Allocated
G0TYD,G0,TYD,Call Sign - Amateur,Reserved
G0TYE,G0,TYE,Call Sign - Amateur,Reserved
G0TYF,G0,TYF,Call Sign - Amateur,Reserved
G0TYG,G0,TYG,Call Sign - Amateur,Reserved
G0TYH,G0,TYH,Call Sign - Amateur,Allocated
G0TYI,G0,TYI,Call Sign - Amateur,Reserved
G0TYJ,G0,TYJ,Call Sign - Amateur,Reserved
G0TYK,G0,TYK,Call Sign - Amateur,Reserved
G0TYL,G0,TYL,Call Sign - Amateur,Reserved
G0TYM,G0,TYM,Call Sign - Amateur,Allocated
G0TYN,G0,TYN,Call Sign - Amateur,Allocated
G0TYO,G0,TYO,Call Sign - Amateur,Reserved
G0TYP,G0,TYP,Call Sign - Amateur,Reserved
G0TYQ,G0,TYQ,Call Sign - Amateur,Allocated
G0TYR,G0,TYR,Call Sign - Amateur,Reserved
G0TYS,G0,TYS,Call Sign - Amateur,Allocated
G0TYT,G0,TYT,Call Sign - Amateur,Reserved
G0TYU,G0,TYU,Call Sign - Amateur,Reserved
G0TYV,G0,TYV,Call Sign - Amateur,Reserved
G0TYW,G0,TYW,Call Sign - Amateur,Allocated
G0TYX,G0,TYX,Call Sign - Amateur,Allocated
G0TYY,G0,TYY,Call Sign - Amateur,Reserved
G0TYZ,G0,TYZ,Call Sign - Amateur,Allocated
G0TZA,G0,TZA,Call Sign - Amateur,Allocated
G0TZB,G0,TZB,Call Sign - Amateur,Reserved
G0TZC,G0,TZC,Call Sign - Amateur,Allocated
G0TZD,G0,TZD,Call Sign - Amateur,Allocated
G0TZE,G0,TZE,Call Sign - Amateur,Allocated
G0TZF,G0,TZF,Call Sign - Amateur,Reserved
G0TZG,G0,TZG,Call Sign - Amateur,Reserved
G0TZH,G0,TZH,Call Sign - Amateur,Allocated
G0TZI,G0,TZI,Call Sign - Amateur,Reserved
G0TZJ,G0,TZJ,Call Sign - Amateur,Reserved
G0TZK,G0,TZK,Call Sign - Amateur,Allocated
G0TZL,G0,TZL,Call Sign - Amateur,Reserved
G0TZM,G0,TZM,Call Sign - Amateur,Allocated
G0TZN,G0,TZN,Call Sign - Amateur,Allocated
G0TZO,G0,TZO,Call Sign - Amateur,Allocated
G0TZP,G0,TZP,Call Sign - Amateur,Allocated
G0TZQ,G0,TZQ,Call Sign - Amateur,Reserved
G0TZR,G0,TZR,Call Sign - Amateur,Allocated
G0TZS,G0,TZS,Call Sign - Amateur,Allocated
G0TZT,G0,TZT,Call Sign - Amateur,Reserved
G0TZU,G0,TZU,Call Sign - Amateur,Reserved
G0TZV,G0,TZV,Call Sign - Amateur,Allocated
G0TZW,G0,TZW,Call Sign - Amateur,Reserved
G0TZX,G0,TZX,Call Sign - Amateur,Reserved
G0TZY,G0,TZY,Call Sign - Amateur,Allocated
G0TZZ,G0,TZZ,Call Sign - Amateur,Allocated
G0UAA,G0,UAA,Call Sign - Amateur,Allocated
G0UAB,G0,UAB,Call Sign - Amateur,Reserved
G0UAC,G0,UAC,Call Sign - Amateur,Allocated
G0UAD,G0,UAD,Call Sign - Amateur,Allocated
G0UAE,G0,UAE,Call Sign - Amateur,Reserved
G0UAF,G0,UAF,Call Sign - Amateur,Reserved
G0UAG,G0,UAG,Call Sign - Amateur,Allocated
G0UAH,G0,UAH,Call Sign - Amateur,Reserved
G0UAI,G0,UAI,Call Sign - Amateur,Allocated
G0UAJ,G0,UAJ,Call Sign - Amateur,Reserved
G0UAK,G0,UAK,Call Sign - Amateur,Allocated
G0UAL,G0,UAL,Call Sign - Amateur,Allocated
G0UAM,G0,UAM,Call Sign - Amateur,Allocated
G0UAN,G0,UAN,Call Sign - Amateur,Allocated
G0UAO,G0,UAO,Call Sign - Amateur,Allocated
G0UAP,G0,UAP,Call Sign - Amateur,Allocated
G0UAQ,G0,UAQ,Call Sign - Amateur,Reserved
G0UAR,G0,UAR,Call Sign - Amateur,Reserved
G0UAS,G0,UAS,Call Sign - Amateur,Allocated
G0UAT,G0,UAT,Call Sign - Amateur,Allocated
G0UAU,G0,UAU,Call Sign - Amateur,Reserved
G0UAV,G0,UAV,Call Sign - Amateur,Allocated
G0UAW,G0,UAW,Call Sign - Amateur,Reserved
G0UAX,G0,UAX,Call Sign - Amateur,Allocated
G0UAY,G0,UAY,Call Sign - Amateur,Allocated
G0UAZ,G0,UAZ,Call Sign - Amateur,Allocated
G0UBA,G0,UBA,Call Sign - Amateur,Allocated
G0UBB,G0,UBB,Call Sign - Amateur,Reserved
G0UBC,G0,UBC,Call Sign - Amateur,Allocated
G0UBD,G0,UBD,Call Sign - Amateur,Allocated
G0UBE,G0,UBE,Call Sign - Amateur,Allocated
G0UBF,G0,UBF,Call Sign - Amateur,Reserved
G0UBG,G0,UBG,Call Sign - Amateur,Allocated
G0UBH,G0,UBH,Call Sign - Amateur,Reserved
G0UBI,G0,UBI,Call Sign - Amateur,Reserved
G0UBJ,G0,UBJ,Call Sign - Amateur,Allocated
G0UBK,G0,UBK,Call Sign - Amateur,Allocated
G0UBL,G0,UBL,Call Sign - Amateur,Allocated
G0UBM,G0,UBM,Call Sign - Amateur,Allocated
G0UBN,G0,UBN,Call Sign - Amateur,Reserved
G0UBO,G0,UBO,Call Sign - Amateur,Allocated
G0UBP,G0,UBP,Call Sign - Amateur,Reserved
G0UBQ,G0,UBQ,Call Sign - Amateur,Allocated
G0UBR,G0,UBR,Call Sign - Amateur,Reserved
G0UBS,G0,UBS,Call Sign - Amateur,Reserved
G0UBT,G0,UBT,Call Sign - Amateur,Reserved
G0UBU,G0,UBU,Call Sign - Amateur,Reserved
G0UBV,G0,UBV,Call Sign - Amateur,Allocated
G0UBW,G0,UBW,Call Sign - Amateur,Reserved
G0UBX,G0,UBX,Call Sign - Amateur,Allocated
G0UBY,G0,UBY,Call Sign - Amateur,Allocated
G0UBZ,G0,UBZ,Call Sign - Amateur,Reserved
G0UCA,G0,UCA,Call Sign - Amateur,Allocated
G0UCB,G0,UCB,Call Sign - Amateur,Reserved
G0UCC,G0,UCC,Call Sign - Amateur,Allocated
G0UCD,G0,UCD,Call Sign - Amateur,Allocated
G0UCE,G0,UCE,Call Sign - Amateur,Allocated
G0UCF,G0,UCF,Call Sign - Amateur,Allocated
G0UCG,G0,UCG,Call Sign - Amateur,Reserved
G0UCH,G0,UCH,Call Sign - Amateur,Allocated
G0UCI,G0,UCI,Call Sign - Amateur,Allocated
G0UCJ,G0,UCJ,Call Sign - Amateur,Reserved
G0UCK,G0,UCK,Call Sign - Amateur,Allocated
G0UCL,G0,UCL,Call Sign - Amateur,Reserved
G0UCM,G0,UCM,Call Sign - Amateur,Reserved
G0UCN,G0,UCN,Call Sign - Amateur,Allocated
G0UCP,G0,UCP,Call Sign - Amateur,Allocated
G0UCQ,G0,UCQ,Call Sign - Amateur,Reserved
G0UCR,G0,UCR,Call Sign - Amateur,Allocated
G0UCS,G0,UCS,Call Sign - Amateur,Allocated
G0UCT,G0,UCT,Call Sign - Amateur,Allocated
G0UCU,G0,UCU,Call Sign - Amateur,Reserved
G0UCV,G0,UCV,Call Sign - Amateur,Reserved
G0UCX,G0,UCX,Call Sign - Amateur,Allocated
G0UCY,G0,UCY,Call Sign - Amateur,Reserved
G0UCZ,G0,UCZ,Call Sign - Amateur,Reserved
G0UDA,G0,UDA,Call Sign - Amateur,Allocated
G0UDB,G0,UDB,Call Sign - Amateur,Allocated
G0UDC,G0,UDC,Call Sign - Amateur,Allocated
